Effective Date,,ABC Intl Hldg,ABN AMRO,AIB,ALLIANCE BERNSTE,AmInvestment,Amundi AM,ANZ Bank,Bank NZ,Bank of China,Bank Permata,Barclays,BayernLB,BBVA,Berenberg,Bidv Securities,Bkhaus Lampe,BMO,BNP Paribas,BOC China,BOCIL,BofAML,BOQ,Brown Brothers,CA CIB,CaixaBank,Capital Econ,Capital Secs,Capitalstars,CBA Ltd,CDBS,CEBM,Centrum Capital,CGB,Changjiang Secs,Chengtong Securi,China Securities,ChinaMrchntBank,ChinaReform Sec,CIBC,CINDA SECURITIES,CITIC Secs Intl,CITIC Securities,Citigroup,CN MERCHANT,Commerzbank UK,Continuum Econ,Contributors,Credit Suisse,D n B,Daiwa Cap Mkts,Danske Bk,DBFI,DBS Bank,DekaBank,Desjardins Group,Deutsche Bank,DZ Bank,EBSCN,Edelweiss,Emirates NBD,Eurobank Hldgs,Federal Bank,Founder Fincg,Founder Secs,Generali Investments,Goldman Sachs,Handelsbanken,HC Securities,HDFC Bank,Helaba,Hiltop,HSBC Hldg,HT Securities,HTSC,Hwabao Trust,ICICI Bank,IG Markets,IHS Global,India Forex,Industrial Sec,Industril Bank,Informa Global,ING Fin Mkts,Intesa Sanpaolo,Inventure,Investec,J. Safra Sarasin,JP Morgan,Julius Baer,Jyske Bank,Kasikornbank,KBC Economics,Krung Thai Bank,LBBW,Lianxun Secs,Lloyds Bank UK,Macquarie Group,Maplecroft.Net,Maybank Inv Bnk,Minsheng Sec,Mizuho Bank Ltd,Mizuho Secs,Monex Europe,Moody's Analytics,Morgan Stanley,MUFG,NAB,Natixis,Natl Bk Canada,NatWest Markets,Nomura,NORD Landbk,Nordea,Northern Trust,Nykredit Markets,OCBC,Pantheon,Piramal,PNC Finl Svc,Postbank,Punjab Natl Bank,Rabobank,Raiffeisen Intl,RBC,RBL Bank,Refinitiv - IFR Markets,Renaissance,RGE,RMB,Samsung Futures,Saxo Bank,Schroders,Scotiabank,SCS,Shanghai Secs,Shinhan Bank,Siam Comm Bank,Sinolink Secs,Skand Ensk Bank,Societe Generale,St George Bank,Standard Bk,Standard Chartered,Swedbank AB,SWSC,TC Bank,TD,TD Securities (USA) LLC,TMB Bank,UBS,UCO Bank,Uni Credit,Union Bank PH,UOB,Vadilal Forex,VTB-Capital,Wells Fargo,Westpac,Yingda Secs,ZHESHANG SECS,ZKB
2023/3/31,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023/2/28,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023/1/31,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022/12/30,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022/11/30,5,#N/A,0.6266,0.6766,#N/A,#N/A,#N/A,0.6966,#N/A,#N/A,#N/A,0.3266,#N/A,0.7266,#N/A,#N/A,#N/A,0.4966,#N/A,#N/A,#N/A,0.4566,#N/A,#N/A,#N/A,#N/A,0.2566,#N/A,#N/A,0.9766,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0266,#N/A,#N/A,#N/A,#N/A,#N/A,0.3266,#N/A,0.5466,0.2266,#N/A,#N/A,#N/A,#N/A,0.2766,#N/A,0.4066,#N/A,0.4266,#N/A,0.4266,#N/A,#N/A,0.6266,#N/A,#N/A,#N/A,#N/A,#N/A,0.6766,#N/A,#N/A,0.3266,0.7266,#N/A,#N/A,#N/A,#N/A,0.5266,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6266,#N/A,#N/A,#N/A,#N/A,#N/A,0.2966,#N/A,#N/A,#N/A,#N/A,0.5766,0.4766,#N/A,#N/A,#N/A,#N/A,0.4866,#N/A,#N/A,#N/A,0.4266,#N/A,#N/A,#N/A,0.3266,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5866,#N/A,#N/A,#N/A,#N/A,#N/A,0.4766,#N/A,0.4266,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6266,0.5766,0.6266,#N/A,#N/A,#N/A,0.7266,0.7566,#N/A,#N/A,0.6066,#N/A,#N/A,#N/A,#N/A,0.4466,#N/A,#N/A,#N/A,0.4466,#N/A,0.3966,#N/A,#N/A,0.5066,0.8266,#N/A,#N/A,0.4766
2022/10/31,6,#N/A,0.9215,#N/A,#N/A,#N/A,#N/A,0.8315,#N/A,#N/A,#N/A,0.9515,#N/A,0.7415,#N/A,#N/A,#N/A,0.8315,#N/A,#N/A,#N/A,0.5715,#N/A,#N/A,#N/A,#N/A,0.4015,#N/A,#N/A,0.9815,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8315,0.8015,0.6315,#N/A,#N/A,#N/A,#N/A,#N/A,0.8515,#N/A,0.7115,#N/A,0.6015,#N/A,1.0015,#N/A,#N/A,0.8715,#N/A,#N/A,#N/A,#N/A,#N/A,0.7515,0.8715,#N/A,0.5015,0.8015,#N/A,#N/A,#N/A,#N/A,#N/A,0.7515,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5315,0.7015,0.7115,#N/A,#N/A,0.7015,0.6615,#N/A,#N/A,#N/A,#N/A,0.5215,#N/A,#N/A,0.8015,0.5015,0.6215,0.8915,0.6815,0.8315,#N/A,0.7315,0.7215,0.6315,0.8015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5515,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9015,#N/A,#N/A,#N/A,0.9915,0.8015,#N/A,#N/A,0.6715,0.6515,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7315,#N/A,0.6315,#N/A,#N/A,0.6415,0.8815,#N/A,#N/A,0.6015
2022/9/30,7,#N/A,0.8135,#N/A,#N/A,#N/A,0.6135,0.8035,#N/A,#N/A,#N/A,0.6635,#N/A,#N/A,#N/A,#N/A,0.5135,0.7635,#N/A,#N/A,#N/A,0.6135,#N/A,#N/A,#N/A,#N/A,0.4935,#N/A,#N/A,0.8635,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9135,#N/A,#N/A,#N/A,0.6435,#N/A,0.4635,0.8135,#N/A,#N/A,#N/A,#N/A,0.6635,#N/A,0.5135,#N/A,0.6635,0.9135,0.8135,#N/A,#N/A,0.8135,#N/A,#N/A,#N/A,#N/A,#N/A,0.8135,0.6835,#N/A,#N/A,#N/A,#N/A,0.7135,#N/A,#N/A,#N/A,0.8135,#N/A,#N/A,#N/A,#N/A,0.6635,0.6135,0.7135,#N/A,#N/A,#N/A,#N/A,0.7635,0.7835,0.6435,#N/A,#N/A,0.7335,0.5035,#N/A,#N/A,#N/A,#N/A,0.7835,#N/A,#N/A,0.5135,0.7135,0.5035,0.6935,0.6135,0.6635,0.7135,0.7835,#N/A,0.8335,0.6635,0.6135,0.6935,#N/A,0.7735,#N/A,#N/A,#N/A,#N/A,#N/A,0.6135,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8135,#N/A,#N/A,#N/A,0.7435,0.6135,#N/A,#N/A,0.7135,0.7135,#N/A,#N/A,#N/A,0.6835,#N/A,#N/A,#N/A,0.8135,#N/A,0.5635,#N/A,#N/A,0.7135,0.8135,#N/A,#N/A,0.6635
2022/8/31,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.559,#N/A,#N/A,#N/A,0.519,#N/A,0.589,#N/A,#N/A,#N/A,0.489,#N/A,#N/A,#N/A,0.419,#N/A,#N/A,#N/A,#N/A,0.289,#N/A,#N/A,0.639,0.459,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.489,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.589,0.259,#N/A,#N/A,#N/A,#N/A,#N/A,0.339,#N/A,0.329,#N/A,#N/A,0.469,0.389,#N/A,#N/A,0.589,#N/A,#N/A,#N/A,#N/A,#N/A,0.589,#N/A,#N/A,#N/A,0.389,#N/A,#N/A,#N/A,#N/A,0.589,0.639,#N/A,#N/A,#N/A,#N/A,0.489,0.489,#N/A,#N/A,#N/A,#N/A,#N/A,0.469,#N/A,0.569,#N/A,#N/A,0.539,0.389,#N/A,#N/A,#N/A,#N/A,0.569,#N/A,#N/A,0.389,0.489,0.289,#N/A,0.409,0.459,#N/A,#N/A,0.359,#N/A,#N/A,#N/A,#N/A,#N/A,0.519,#N/A,#N/A,#N/A,#N/A,#N/A,0.389,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.389,0.589,0.489,#N/A,#N/A,#N/A,0.509,#N/A,#N/A,#N/A,0.509,0.439,#N/A,#N/A,#N/A,0.459,#N/A,#N/A,#N/A,0.549,#N/A,0.409,#N/A,#N/A,0.539,0.589,#N/A,#N/A,0.439
2022/7/29,9,#N/A,#N/A,#N/A,#N/A,#N/A,0.2933,0.4033,#N/A,#N/A,#N/A,#N/A,#N/A,0.3133,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0433,#N/A,#N/A,0.2833,0.3033,0.1933,#N/A,#N/A,0.4233,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5133,#N/A,#N/A,#N/A,#N/A,#N/A,0.1233,#N/A,#N/A,#N/A,#N/A,#N/A,0.1933,#N/A,0.1833,#N/A,0.2933,#N/A,0.2433,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4933,0.3033,#N/A,#N/A,0.2433,#N/A,#N/A,#N/A,#N/A,#N/A,0.3433,#N/A,#N/A,#N/A,#N/A,#N/A,0.2433,#N/A,#N/A,#N/A,#N/A,#N/A,0.3633,#N/A,0.3133,#N/A,#N/A,0.4433,#N/A,#N/A,#N/A,#N/A,#N/A,0.3833,#N/A,#N/A,#N/A,0.3233,6.5933,0.3033,0.2833,0.3233,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2933,#N/A,0.1933,#N/A,0.3433,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3633,#N/A,#N/A,#N/A,0.3733,0.2933,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3833,#N/A,0.2733,#N/A,#N/A,0.3733,0.4133,#N/A,#N/A,0.1433
2022/6/30,10,#N/A,#N/A,0.3981,#N/A,#N/A,#N/A,0.3481,#N/A,#N/A,#N/A,0.3981,#N/A,#N/A,0.1981,#N/A,#N/A,0.2981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1981,#N/A,0.4481,#N/A,#N/A,#N/A,0.3481,0.1981,0.0981,#N/A,#N/A,#N/A,#N/A,#N/A,0.1481,#N/A,0.1581,#N/A,#N/A,#N/A,0.1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3981,0.2481,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2481,0.2481,#N/A,#N/A,#N/A,#N/A,0.1981,0.1981,0.3481,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2881,#N/A,#N/A,0.3981,0.1981,#N/A,#N/A,#N/A,#N/A,0.3381,#N/A,#N/A,#N/A,0.2781,#N/A,0.2581,0.2481,#N/A,#N/A,#N/A,0.1981,#N/A,#N/A,#N/A,0.2481,#N/A,0.2881,#N/A,#N/A,-0.0519,0.0481,#N/A,#N/A,#N/A,0.3181,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2981,#N/A,0.1981,#N/A,#N/A,#N/A,0.3181,0.2481,#N/A,#N/A,0.3481,0.2181,#N/A,#N/A,0.1981,#N/A,#N/A,#N/A,#N/A,0.3281,#N/A,0.2481,#N/A,#N/A,0.2781,0.3481,#N/A,#N/A,0.1481
2022/5/31,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3115,#N/A,#N/A,#N/A,0.3515,#N/A,0.2815,#N/A,#N/A,#N/A,0.2515,#N/A,0.1715,#N/A,-0.0285,0.1715,#N/A,#N/A,#N/A,-0.0285,#N/A,#N/A,0.3515,0.1715,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4015,0.0715,#N/A,#N/A,0.3215,0.4715,0.0715,#N/A,#N/A,#N/A,#N/A,#N/A,0.1215,#N/A,0.1415,#N/A,0.2215,#N/A,0.1715,#N/A,#N/A,0.3715,#N/A,#N/A,#N/A,#N/A,#N/A,0.3715,#N/A,#N/A,#N/A,0.2715,#N/A,#N/A,#N/A,#N/A,0.2715,0.2515,#N/A,#N/A,#N/A,#N/A,0.0715,0.1715,0.0715,#N/A,#N/A,#N/A,#N/A,0.3215,#N/A,-0.0585,#N/A,#N/A,0.3215,0.1915,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2715,0.2215,#N/A,#N/A,0.2215,0.2515,#N/A,#N/A,0.2915,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1215,#N/A,0.2115,#N/A,#N/A,#N/A,#N/A,0.3015,#N/A,#N/A,#N/A,#N/A,#N/A,0.1715,0.2915,#N/A,#N/A,0.3115,0.2215,#N/A,#N/A,0.1215,0.1915,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3015,#N/A,#N/A,#N/A,#N/A,0.2315,0.3215,#N/A,#N/A,0.1215
2022/4/29,12,#N/A,0.278,#N/A,#N/A,#N/A,#N/A,0.278,#N/A,#N/A,#N/A,#N/A,#N/A,0.178,0.008,#N/A,#N/A,0.158,#N/A,0.058,#N/A,0.038,#N/A,#N/A,#N/A,#N/A,-0.042,#N/A,#N/A,#N/A,0.158,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.278,0.008,#N/A,#N/A,#N/A,0.608,-0.022,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.062,#N/A,0.258,#N/A,0.108,#N/A,#N/A,0.308,#N/A,#N/A,#N/A,#N/A,#N/A,0.308,0.178,#N/A,#N/A,0.208,#N/A,#N/A,#N/A,#N/A,0.108,0.108,#N/A,#N/A,0.148,#N/A,0.128,0.038,-0.092,#N/A,#N/A,#N/A,#N/A,0.108,#N/A,0.128,#N/A,#N/A,0.258,0.158,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.128,#N/A,0.068,0.108,0.158,#N/A,#N/A,#N/A,0.278,0.008,#N/A,#N/A,#N/A,0.248,#N/A,#N/A,#N/A,#N/A,#N/A,0.058,#N/A,0.078,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.278,#N/A,0.108,#N/A,#N/A,#N/A,0.238,0.228,#N/A,#N/A,0.088,0.058,#N/A,#N/A,0.048,#N/A,#N/A,#N/A,#N/A,0.228,#N/A,0.078,#N/A,#N/A,#N/A,0.328,#N/A,#N/A,0.108
